Status,Seq,URL,SKU,Product Code,IsBundle,User-pc count,SKU Type,Page to Land,Site Code,Site Language,Sku Language,Country Code,Language Code,Currency Code,Price,,,org,Channel,Promotion (Flex),Segment,Keyword Category,Email Program,Affiliate Sub Channel,Period (Time),Is Upgrade,PL Code,tppc,Batch Name,sku lang priority,Valid From,Valid To,Phased Out,Source,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040012,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21228520&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228520,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,NL_SITE,Dutch,NL,BE,nl,EUR,39.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040008,http://buy.norton.com/partneroffer?ctry=US&lang=EN&selSKU=21228500&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228500,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,US_SITE,English,EN,US,en,USD,49.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040009,http://buy.norton.com/partneroffer?ctry=CA&lang=EN&selSKU=21228500&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228500,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,CA_SITE,English,EN,CA,en,CAD,54.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040010,http://buy.norton.com/partneroffer?ctry=AU&lang=EN&selSKU=21239632&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21239632,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,AU_SITE,English,AP,AU,en,AUD,79.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Live,2012040011,http://buy.norton.com/partneroffer?ctry=BR&lang=PT&selSKU=21239631&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21239631,NOBU-25GB_V2.0_12MO_CC,N,1-3,ESD,cart,LATAM_SITE,Portuguese ,,BR,pt,BRL,59,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040012,http://buy.norton.com/partneroffer?ctry=NL&lang=NL&selSKU=21228520&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228520,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,NL_SITE,Dutch,NL,NL,nl,EUR,39.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040013,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21228504&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228504,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,FR_SITE,French,FR,FR,fr,EUR,39.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040013,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21228504&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228504,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,FR_SITE,French,FR,LU,fr,EUR,39.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040014,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21228501&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228501,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,IT_SITE,Italian,IT,IT,it,EUR,49.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012040015,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21228508&tppc=9a05e4dc0aaef88c2f06c918aada99d9&ptype=cart,21228508,NOBU-25GB_V2.0_12MO_CC,N,1-1,ESD,cart,IB_SITE,Spanish,ES,ES,es,EUR,49.99,,,NORTONLIVE,Partner/LOEM,MSRP,ALL,,,,,ALL,Master_Cons_PL,9a05e4dc0aaef88c2f06c918aada99d9,SPARK-2171,_PC DRIVERS HQ,,,,,_PC DRIVERS HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
